Ссылка,Автор,Дата,Описание,Хэштеги,Просмотры,Лайки,Комментарии,Звук
https://instagram.fkgf3-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQONZnaL23JsK70O9mla5u1iPbWBxfZESmKEeQnM2QXzXuF6Z3ewcQHjqESgfHJcYkG8TbzJSRpLwtdxBpwMA5fQtjG7pf4cgtZe-U4.mp4?_nc_cat=111&_nc_oc=Adl2qqURpxHnYK872BX8JpwZXZavBjtNTSBeSBuYsJ9urfOmCmm3tiGUv8oRwPvpais&_nc_sid=5e9851&_nc_ht=instagram.fkgf3-1.fna.fbcdn.net&_nc_ohc=32PqAkjwGGUQ7kNvwGyPpvO&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTA3Njg2MjQ0MDk2NTYwMiwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjI4LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=cd4e9f1a7577acab&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9FMDREMzhBQzBGNTdGOUVGNDMzODk1M0U5MzhBQzU4OV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTnliMGgyTDZ1dm8xRzRFQU1vb0RBMHpXSWNRYnFfRUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmxJegtNLZ6QMVAigCQzMsF0A8GZmZmZmaGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_zt=28&oh=00_AfKldmbAkYkAbCnZWRcloiAajXVcPRTpCI60Tu_TyLNVEQ&oe=68366784,fattmariaphoto,2025-05-26 10:51:36+00:00,"I see this a lot on product pages, the background is completely white and the glass doesn't have nice shape. I lower the exposure on the background by about a stop so there's contrast between the reflections and background, but the background still reads as white.

#studio #photography #lighting #glass #background #reflections #learn",,0,180,6,
https://instagram.fkgf3-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQNwPNzJrG9P_u4UHuacql6uAyUphkD4KP9u6J0MEWaXU6o-ykTw65A4ngRY9_5bVD_dTtEQEoJHOUQOl4hEiVojSArclzQ36AzYeXY.mp4?_nc_cat=108&_nc_oc=AdnnN679_TaEhb_tOpGO-QRNgvhZTETWLDDqrZ9Z_UquArKWMb0HyCIXgfeTlRQE9Ss&_nc_sid=5e9851&_nc_ht=instagram.fkgf3-1.fna.fbcdn.net&_nc_ohc=-9PoAMRRTH0Q7kNvwHW_qpB&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6OTk4MDYwMDQ1NjQzNTEyLCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6NjEsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=9b68199929d15e26&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9FQzQwRkUzQUEyREYyMTc3OUE1MTU0OEI1REYyOTk4NV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTlNsMVIxS1pFWUoyeGNGQUxTXzZRbnZSNTk5YnFfRUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAm8Lvh597uxQMVAigCQzMsF0BOqp--dsi0GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_zt=28&oh=00_AfIMWqctqWhsy7K1XaYumWW5xtumBzAIEHVCA_Flc_vWww&oe=68365E0D,cleaningwithalexis,2025-05-25 16:32:37+00:00,ENJOY!💕COLLAB with the bestie! @ashlyncleans be sure to check out her video! Used~foca laundry powder and oxi Palmolive dish soap. Love scrubbing this table with a sudsy combo. #table #suds #sudsy #glass #cleaning #trending #foryoupage #scrubbing #laundry #scrub {11:33am},,0,842,6,
https://instagram.fkgf3-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQO3iJjm2ORc-VWFU2EBaqbkHHaLGBq2GGbiRmNItTRZ3OevZT-k6d-ZPht6KY_QXioQrCTWrDWl2tQrDWwkG0XwfPvQTsVKiVakFUw.mp4?_nc_cat=104&_nc_oc=Adl4R7QmFBbZ_5UTFxkRjY3q7gcTe4ds-fLIh_jET1jnRVyh_TNHvqqs93x5bpPquzw&_nc_sid=5e9851&_nc_ht=instagram.fkgf3-1.fna.fbcdn.net&_nc_ohc=HIaOzq-QlJwQ7kNvwHyqR6b&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6NzA4MzY1MTc4MzM4OTA4LCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6MTEsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=fb9b1a1b4677e21d&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8xNjRENTJBQzUwQjBCNEU5OTk4RDE3ODRCQUVGOTlCN192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRXRHeHgwQ21TaHhETFlEQUNiTllRLURXZHNmYnFfRUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmuPmb7aOQwgIVAigCQzMsF0AmIcrAgxJvGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_zt=28&oh=00_AfL-mR-7uPcZyBlGJC-eguHMfnVlNkBI3Mo5uxe2Vp5bqg&oe=68366EE1,zaijianmosaic,2025-05-26 09:00:00+00:00,"🌿 Emerald Oasis: Summer’s Coolest Escape🌿 

Dive into a jungle of jade, moss, and seafoam—green mosaic collection is summer bottled in mosaic. From tropical Murano glass to rainforest-inspired stone, each design brings nature’s chill to your walls.

📩 DM to set your space ablaze. 🍃
-
-
-
-
#zaijianmosaic
#mosaic
#art
#glass
#design
#bathroom
#mosaicart
#marble
#interiordesign
#interiors
#bathroomdesign
#decor
#dreamhome
#lifestyle
#tile
#marblemosaic
#floor
#floordesign
#livingroom
#tiledesign
#luxuryliving
#dreamhome
#hongkongdesign
#waterjetmosaic
#muranoglass
#backsplash
#floortiles
#tilework
#kitchen
#house",,0,1359,16,
https://instagram.fkgf3-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQPqDygkEDBeeeD7Xoa2JtFV-B8upZLcGAcfqihFLh7J3PaclM1eXfekyohVQto8gitH-D0v-_0PsRi8CSSGF7HxYjDaD6iIEv5gx_o.mp4?_nc_cat=110&_nc_oc=Adms9pVXos6SWMHlsfs6W7a3Cd2Kn0kqKqe20i5GPX9IF5AP9vz7S15rECqNUHJu1Hk&_nc_sid=5e9851&_nc_ht=instagram.fkgf3-1.fna.fbcdn.net&_nc_ohc=YKJE0YCrJB0Q7kNvwFZCBsr&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzE4LmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6NDEwMzU5ODI5OTk1OTQwOCwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjExLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=2c8ab8471daac2fc&_nc_vs=HBkcFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8yMjRDQjFDRTM0OUNDNjE0NDZCNDVBNzIyMTc5OEQ4Q192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAm4MHC7-2Myg4VAigCQzMsF0Amd0vGp--eGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_zt=28&oh=00_AfLle2CDNIsLTZtuZJogIVCYdMiylB8EhEwEvC786j2Ufw&oe=6836658B,kitpaulson,2025-05-20 18:54:29+00:00,"I was making this thing, then I realized I didn’t want to make it after all, so I quit. I was going to dispose of it but on the way to disposal I stuck it on this nail outside my studio and this may be the best it’s ever looked.
.
.
.
#glass #borosilicate #flameworking #gothicarchitecture #knowwhentoquit #failure",,0,661,21,
https://instagram.fkgf3-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQOlDfmCzzxVIhdTHBMhVP8pv-I_gOq2ZE11ZOSiqrAxsN0hsbUZiDYgtHVu-XGgE9LqYFMEnsPtmhn6n5leeNR9zOgTwzCQY8GFpss.mp4?_nc_cat=107&_nc_oc=AdlT-_HMp8AVUad8_D9otNTALPVxGj1jg5-cfWbnpHP5ieExUPMlYKSx_7u6LWdJ5-E&_nc_sid=5e9851&_nc_ht=instagram.fkgf3-1.fna.fbcdn.net&_nc_ohc=nBg1tWjiJ04Q7kNvwFQniDt&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6NjY2OTE2MDc5NDA2MDIwLCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6OCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=8a844e34ac9e1306&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC80MTQ1MkJEREUxNTYxNTk5ODAyODA1RjU0NDEzNUI5Ql92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRHN3aFIxTGlIZzJaeEVHQUdabEEtYzg0dzlTYnFfRUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmiK-QgNCjrwIVAigCQzMsF0AgVP3ztkWiGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_zt=28&oh=00_AfI-uDKJPNVl1EANPouMk23hgl6bTppEylmnOzpteJTnpA&oe=683676FC,jewel.hrizolit,2025-05-05 17:57:47+00:00,"Волшебство эмали ✨The magic of enamel

#art #pliqueajour #stainedglass #glass #jewel #enamel #искусство #ювелирноеискусство #мастерскаяхризолит #витражнаяпосуда #эмаль #скань #витражнаяэмаль #посуда",,0,616,37,
https://instagram.fkgf3-1.fna.fbcdn.net/o1/v/t16/f2/m261/AQONe7ppk9UnUqfsrzn8q0l0kA239ETi10zYtLjZdbqilrMVwCQ4m-XmYt-ZTgxAm-_9pa7USJTOXdTCUqZYeKLySABNf0HRPtrmlg.mp4?_nc_cat=101&_nc_oc=AdkzaO3Kg_IZQf_0bL4hqFVroWv-wAAjbR8Hmq49xR_NRNRJqu9gypVzMCSuTIh6Fb8&_nc_sid=8bf8fe&_nc_ht=instagram.fkgf3-1.fna.fbcdn.net&_nc_ohc=-efqrdeqK3gQ7kNvwGF6GPM&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuMTQ0MC5yZW11eF9zb3VyY2UiLCJ4cHZfYXNzZXRfaWQiOjE3MDA3ODcxNTEzMTQ1MzQsInZpX3VzZWNhc2VfaWQiOjEwODI3LCJkdXJhdGlvbl9zIjoyNCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_zt=28&oh=00_AfJ5wgAozwireGFmoiwPGS9ZJ7jXh67_CmMqAqRALFwtyQ&oe=68366B7B,adorno.design,2025-05-22 03:05:00+00:00,"Experimental Argentine artist based in Barcelona. “My work focuses on flame-working with blown glass, exploring a non-existent dreamlike world based on dreams and the creation of other realities. Through innovative techniques and a multidisciplinary approach, I aim to challenge conventions and offer a profound reflection on identity and diversity. My pieces not only highlight the fragility of the material but also evoke a sense of resilience and connection to the multiple realities that coexist within our experience.”

-PIA GLASSWORKS

Browse the collection at link in bio

#glass #glassart #glassblowing #glassblowingart #glassblown #glassdesign #glassdecor #glasscraft #glassartist #glassart",,0,729,24,
https://instagram.fkgf3-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQNu1lw4oDKvqPz8LITcN3JCrcag9OfW4MXnaux5vKmwXuhhN4lV8eykmERsOSsn5CqizStdEjLYDSES2g9ehe2JPALBVk0vlyyyMr4.mp4?_nc_cat=107&_nc_oc=Adk1vEa-GgqO12bZwwUxYdNTMDwii-ypqD1g3Osz48dmIeKW94d-wpXxBDLnMQZydQY&_nc_sid=5e9851&_nc_ht=instagram.fkgf3-1.fna.fbcdn.net&_nc_ohc=RrzNAh88DdMQ7kNvwHKKiTb&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzE4LmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTI2NDgyOTIxMTg4MjM1OCwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjIzLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=32d46462ffd8d749&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9FQzQ0MURCOUUzNjcwMTVFQkFCNDVGNEM2NUNCQzY4OF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HQThrNWgzNVFTYU0xY01HQU5zWnUxRHNKWnR2YnFfRUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAm7M2B_t-WvwQVAigCQzMsF0A35mZmZmZmGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_zt=28&oh=00_AfJYtlgxRqlPkmhC0EHIUU6fmiNuYbIJ62NWtR4ByzDw_g&oe=68368820,chinawindowdoors,2025-05-26 02:27:55+00:00,"Sunshine by day, shelter by rain! PC transparent canopies upgrade homes & shops☔
✅Crystal clarity ✅Ultra-durable ✅Easy installation
For Homes: Enjoy rainy days in your garden with natural light
For Stores: Protect signage & welcome customers 24/7/365
👉Tap to design your perfect cover

#pc #pcboard #glass #acrylic #uv #PatioGoals #WeatherProtection #HomeAndBusiness #awning #awnings #canopy  #outdoor #outdoorliving #home #aluminium #aluminumalloy #patio #garden #diy #chinafactory #factory #homedecor #decor #family #summer",,0,145,10,
https://instagram.fkgf3-1.fna.fbcdn.net/o1/v/t16/f2/m69/AQOy1eLOv2vvzsAmUgGHbx0r0gBqfJ0L6ZaAGrkpDecf-bN31DnZhRBHscpEiUIh095p7sr361e56xIkAIdZH-OW.mp4?strext=1&_nc_cat=103&_nc_oc=AdmJb2iDuXwlDZOzG_PzSN3p1rWo_2DN1jUlcfOmqVe6QWiEt280ePHYnxVINUySaCA&_nc_sid=5e9851&_nc_ht=instagram.fkgf3-1.fna.fbcdn.net&_nc_ohc=1Haf_uocobQQ7kNvwE7hnuF&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuMzYwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzM2MHAiLCJ4cHZfYXNzZXRfaWQiOjk1ODI1ODgzNjUxODYxNzIsInZpX3VzZWNhc2VfaWQiOjEwMTIwLCJkdXJhdGlvbl9zIjo4MCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=4ed7fc4720e7028f&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSlZseVIwSkczb2FNcElDQUdqQ1pfV0paLUZMYm1kakFBQUYVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTHRsMGgyem8xV1dtZ3NDQUM0UWtBY05SWEJmYnY0R0FBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAm-JHJ-IbUhSIVAigCQzMsF0BUNU_fO2RaGBlkYXNoX2gyNjQtYmFzaWMtZ2VuMl8zNjBwEQB1_gdlkJ4BAA&_nc_zt=28&oh=00_AfJv9h4Xu-shTVyaOSSV8LgQovqxMkLDbwFS4zEw5uXpTA&oe=683A826D,roj898822,2025-05-24 03:19:59+00:00,#roj8988 #แก้วตัดจากขวด  #handmade #diy #glass #bottle #businessideas,,0,396,5,
https://instagram.fkgf3-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQO7HHfIgpQWs3zclmV94LVjvpYcJlEN0dgmmALAPlYXNHA3OuBL7CollPEX44yz9uYs5q6v0hzgE_z5kBF_lliui_1Q-8aqyJvdTaI.mp4?_nc_cat=105&_nc_oc=Admb0d3g7byGD6dZUovr1EO1prACqb9-cAg1Gfq6x-aldDAMtkx5ojrFdoz1pNvVEfc&_nc_sid=5e9851&_nc_ht=instagram.fkgf3-1.fna.fbcdn.net&_nc_ohc=QswveFsuFzwQ7kNvwF-_1Y8&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzE4LmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6Nzc2MTkzNjQ0OTEwODQ1LCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6MTYsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=357ff23f1ef73699&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9GODQxRkJDNUY3NTk4RTdDQzc5RTkzQ0U1OTcwRTg5MV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTDgyMkIxRHl5MkxzTWNFQUswWTFyMGNOS3BvYnFfRUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAm-uPap7X84AIVAigCQzMsF0AwkOVgQYk3GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_zt=28&oh=00_AfK7nYsQLmrv4YA6i4wRxNImJFcWTQWxOvRKKjl4Q0cvNA&oe=68367ECA,chinawindowdoors,2025-05-23 02:09:43+00:00,"A video tells you how strong the PC transparent board is.

#pc #pcboard #glass #acrylic #uv #PatioGoals #RetailSolutions #SmartLiving #WeatherProtection #HomeAndBusiness #awning #awnings #canopy #sunshade  #outdoor #outdoorliving #home #aluminium #aluminumalloy #chinafactory #factory #homedecor #decor",,0,637,66,
https://instagram.fkgf3-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQPcN7llvdcp0SnhPWQt3bmQ78OkyyEZizVDZuftn496OJRWe0VOf9tLYEV8TwwMr7sHzc0LTjgDsTnd8JPWAkS4hlaX_hvlgyFLvI8.mp4?_nc_cat=102&_nc_oc=AdksXHqo8B2EbRcLtr2KQN5N65Yoy7-ZahbAH9kcTKcdNjYp3YcDbFIzoWn0anXAAAc&_nc_sid=5e9851&_nc_ht=instagram.fkgf3-1.fna.fbcdn.net&_nc_ohc=m58sFV6K2YUQ7kNvwGsOsgy&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6NDIwMjg2MjkwNjY1OTY2MywidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjYsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=d23d2fc1d9881978&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC84NjRCMjA4RTRGODVFNzlCNEY3QUExRDI5NkNGNTlCMl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HQThDcWgyV3dUaXJYcThEQVBPREZjWDYycTBHYnFfRUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmns266eie9w4VAigCQzMsF0Ab3S8an753GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_zt=28&oh=00_AfK_9Zu5Qkgg_wUFcKuTqMVzrRFmkdg3awKPO0K5jT4KoQ&oe=6836736F,matt.cott,2025-05-19 05:22:41+00:00,"Olivia-5x7in Ambrotype-Green stained glass 

#largeformatphotography #largeformatportrait #portrait #portraitphotography #wetplatecollodion #wetplatephotography #tintype #ambrotype #analog #historic #alternativeprocess #5x7 #newplymouthnz #taranaki #taranaki_nz #nzart #visualart #filmphotography #glass #positive #green #memories #heirloom #blackandwhitephotography #blackandwhite #wave #stainedglass #stainedglassart @oliviadayjewellery",,0,2505,53,
